indicador,unidade,valor,uf_codigo,uf_nome,variavel_codigo,variavel,periodo_codigo,periodo,categoria_codigo,categoria,categoria2_codigo,categoria2
cor_raca,Mil pessoas,1727.0,11,Rondônia,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,11,Rondônia,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,11,Rondônia,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,11,Rondônia,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,856.0,12,Acre,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,12,Acre,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,12,Acre,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,12,Acre,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,4069.0,13,Amazonas,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,13,Amazonas,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,13,Amazonas,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,13,Amazonas,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,602.0,14,Roraima,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,14,Roraima,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,14,Roraima,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,14,Roraima,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,8554.0,15,Pará,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,15,Pará,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,15,Pará,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,15,Pará,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,790.0,16,Amapá,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,16,Amapá,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,16,Amapá,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,16,Amapá,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,Mil pessoas,1548.0,17,Tocantins,606,População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,0.0,17,Tocantins,6541,Coeficiente de variação - População,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,100.0,17,Tocantins,608,Percentual da população,202301,1º trimestre 2023,95251,Total,,
cor_raca,%,,17,Tocantins,6542,Coeficiente de variação - Percentual da população,202301,1º trimestre 2023,95251,Total,,
