estado,estado_codigo,termo,interesse,ano,grupo
Acre,BR-AC,Python,11,2021,linguagens
Alagoas,BR-AL,Python,12,2021,linguagens
Amapá,BR-AP,Python,8,2021,linguagens
Amazonas,BR-AM,Python,12,2021,linguagens
Bahia,BR-BA,Python,10,2021,linguagens
Ceará,BR-CE,Python,15,2021,linguagens
Distrito Federal,BR-DF,Python,22,2021,linguagens
Espírito Santo,BR-ES,Python,14,2021,linguagens
Goiás,BR-GO,Python,11,2021,linguagens
Maranhão,BR-MA,Python,8,2021,linguagens
Mato Grosso,BR-MT,Python,7,2021,linguagens
Mato Grosso do Sul,BR-MS,Python,9,2021,linguagens
Minas Gerais,BR-MG,Python,12,2021,linguagens
Paraná,BR-PR,Python,11,2021,linguagens
Paraíba,BR-PB,Python,13,2021,linguagens
Pará,BR-PA,Python,9,2021,linguagens
Pernambuco,BR-PE,Python,12,2021,linguagens
Piauí,BR-PI,Python,9,2021,linguagens
Rio Grande do Norte,BR-RN,Python,14,2021,linguagens
Rio Grande do Sul,BR-RS,Python,12,2021,linguagens
Rio de Janeiro,BR-RJ,Python,13,2021,linguagens
Rondônia,BR-RO,Python,8,2021,linguagens
Roraima,BR-RR,Python,7,2021,linguagens
Santa Catarina,BR-SC,Python,13,2021,linguagens
Sergipe,BR-SE,Python,12,2021,linguagens
São Paulo,BR-SP,Python,15,2021,linguagens
Tocantins,BR-TO,Python,11,2021,linguagens
Acre,BR-AC,SQL,4,2021,linguagens
Alagoas,BR-AL,SQL,4,2021,linguagens
Amapá,BR-AP,SQL,3,2021,linguagens
Amazonas,BR-AM,SQL,4,2021,linguagens
Bahia,BR-BA,SQL,4,2021,linguagens
Ceará,BR-CE,SQL,5,2021,linguagens
Distrito Federal,BR-DF,SQL,12,2021,linguagens
Espírito Santo,BR-ES,SQL,6,2021,linguagens
Goiás,BR-GO,SQL,5,2021,linguagens
Maranhão,BR-MA,SQL,3,2021,linguagens
Mato Grosso,BR-MT,SQL,5,2021,linguagens
Mato Grosso do Sul,BR-MS,SQL,4,2021,linguagens
Minas Gerais,BR-MG,SQL,7,2021,linguagens
Paraná,BR-PR,SQL,6,2021,linguagens
Paraíba,BR-PB,SQL,4,2021,linguagens
Pará,BR-PA,SQL,3,2021,linguagens
Pernambuco,BR-PE,SQL,4,2021,linguagens
Piauí,BR-PI,SQL,2,2021,linguagens
Rio Grande do Norte,BR-RN,SQL,4,2021,linguagens
Rio Grande do Sul,BR-RS,SQL,7,2021,linguagens
Rio de Janeiro,BR-RJ,SQL,6,2021,linguagens
Rondônia,BR-RO,SQL,5,2021,linguagens
Roraima,BR-RR,SQL,2,2021,linguagens
Santa Catarina,BR-SC,SQL,9,2021,linguagens
Sergipe,BR-SE,SQL,6,2021,linguagens
São Paulo,BR-SP,SQL,10,2021,linguagens
Tocantins,BR-TO,SQL,6,2021,linguagens
Acre,BR-AC,R,61,2021,linguagens
Alagoas,BR-AL,R,59,2021,linguagens
Amapá,BR-AP,R,63,2021,linguagens
Amazonas,BR-AM,R,51,2021,linguagens
Bahia,BR-BA,R,60,2021,linguagens
Ceará,BR-CE,R,56,2021,linguagens
Distrito Federal,BR-DF,R,47,2021,linguagens
Espírito Santo,BR-ES,R,54,2021,linguagens
Goiás,BR-GO,R,59,2021,linguagens
Maranhão,BR-MA,R,64,2021,linguagens
Mato Grosso,BR-MT,R,63,2021,linguagens
Mato Grosso do Sul,BR-MS,R,60,2021,linguagens
Minas Gerais,BR-MG,R,54,2021,linguagens
Paraná,BR-PR,R,60,2021,linguagens
Paraíba,BR-PB,R,56,2021,linguagens
Pará,BR-PA,R,59,2021,linguagens
Pernambuco,BR-PE,R,59,2021,linguagens
Piauí,BR-PI,R,69,2021,linguagens
Rio Grande do Norte,BR-RN,R,58,2021,linguagens
Rio Grande do Sul,BR-RS,R,55,2021,linguagens
Rio de Janeiro,BR-RJ,R,54,2021,linguagens
Rondônia,BR-RO,R,66,2021,linguagens
Roraima,BR-RR,R,67,2021,linguagens
Santa Catarina,BR-SC,R,53,2021,linguagens
Sergipe,BR-SE,R,58,2021,linguagens
São Paulo,BR-SP,R,54,2021,linguagens
Tocantins,BR-TO,R,59,2021,linguagens
Acre,BR-AC,Scala,1,2021,linguagens
Alagoas,BR-AL,Scala,0,2021,linguagens
Amapá,BR-AP,Scala,0,2021,linguagens
Amazonas,BR-AM,Scala,0,2021,linguagens
Bahia,BR-BA,Scala,1,2021,linguagens
Ceará,BR-CE,Scala,0,2021,linguagens
Distrito Federal,BR-DF,Scala,1,2021,linguagens
Espírito Santo,BR-ES,Scala,0,2021,linguagens
Goiás,BR-GO,Scala,1,2021,linguagens
Maranhão,BR-MA,Scala,1,2021,linguagens
Mato Grosso,BR-MT,Scala,1,2021,linguagens
Mato Grosso do Sul,BR-MS,Scala,2,2021,linguagens
Minas Gerais,BR-MG,Scala,1,2021,linguagens
Paraná,BR-PR,Scala,1,2021,linguagens
