date,termo,interesse,grupo,ano
2020-12-27,Python,11,linguagens,2020
2021-01-03,Python,11,linguagens,2021
2021-01-10,Python,12,linguagens,2021
2021-01-17,Python,12,linguagens,2021
2021-01-24,Python,13,linguagens,2021
2021-01-31,Python,13,linguagens,2021
2021-02-07,Python,14,linguagens,2021
2021-02-14,Python,14,linguagens,2021
2021-02-21,Python,15,linguagens,2021
2021-02-28,Python,13,linguagens,2021
2021-03-07,Python,15,linguagens,2021
2021-03-14,Python,14,linguagens,2021
2021-03-21,Python,14,linguagens,2021
2021-03-28,Python,14,linguagens,2021
2021-04-04,Python,15,linguagens,2021
2021-04-11,Python,15,linguagens,2021
2021-04-18,Python,17,linguagens,2021
2021-04-25,Python,17,linguagens,2021
2021-05-02,Python,16,linguagens,2021
2021-05-09,Python,16,linguagens,2021
2021-05-16,Python,17,linguagens,2021
2021-05-23,Python,16,linguagens,2021
2021-05-30,Python,16,linguagens,2021
2021-06-06,Python,15,linguagens,2021
2021-06-13,Python,17,linguagens,2021
2021-06-20,Python,17,linguagens,2021
2021-06-27,Python,16,linguagens,2021
2021-07-04,Python,14,linguagens,2021
2021-07-11,Python,16,linguagens,2021
2021-07-18,Python,16,linguagens,2021
2021-07-25,Python,16,linguagens,2021
2021-08-01,Python,16,linguagens,2021
2021-08-08,Python,16,linguagens,2021
2021-08-15,Python,19,linguagens,2021
2021-08-22,Python,17,linguagens,2021
2021-08-29,Python,18,linguagens,2021
2021-09-05,Python,17,linguagens,2021
2021-09-12,Python,18,linguagens,2021
2021-09-19,Python,19,linguagens,2021
2021-09-26,Python,18,linguagens,2021
2021-10-03,Python,18,linguagens,2021
2021-10-10,Python,17,linguagens,2021
2021-10-17,Python,18,linguagens,2021
2021-10-24,Python,18,linguagens,2021
2021-10-31,Python,18,linguagens,2021
2021-11-07,Python,18,linguagens,2021
2021-11-14,Python,17,linguagens,2021
2021-11-21,Python,18,linguagens,2021
2021-11-28,Python,17,linguagens,2021
2021-12-05,Python,17,linguagens,2021
2021-12-12,Python,19,linguagens,2021
2021-12-19,Python,16,linguagens,2021
2021-12-26,Python,17,linguagens,2021
2022-01-02,Python,27,linguagens,2022
2022-01-09,Python,30,linguagens,2022
2022-01-16,Python,28,linguagens,2022
2022-01-23,Python,30,linguagens,2022
2022-01-30,Python,30,linguagens,2022
2022-02-06,Python,33,linguagens,2022
2022-02-13,Python,36,linguagens,2022
2022-02-20,Python,35,linguagens,2022
2022-02-27,Python,32,linguagens,2022
2022-03-06,Python,34,linguagens,2022
2022-03-13,Python,37,linguagens,2022
2022-03-20,Python,37,linguagens,2022
2022-03-27,Python,39,linguagens,2022
2022-04-03,Python,41,linguagens,2022
2022-04-10,Python,36,linguagens,2022
2022-04-17,Python,37,linguagens,2022
2022-04-24,Python,41,linguagens,2022
2022-05-01,Python,40,linguagens,2022
2022-05-08,Python,41,linguagens,2022
2022-05-15,Python,38,linguagens,2022
2022-05-22,Python,37,linguagens,2022
2022-05-29,Python,37,linguagens,2022
2022-06-05,Python,36,linguagens,2022
2022-06-12,Python,32,linguagens,2022
2022-06-19,Python,36,linguagens,2022
2022-06-26,Python,33,linguagens,2022
2022-07-03,Python,34,linguagens,2022
2022-07-10,Python,33,linguagens,2022
2022-07-17,Python,33,linguagens,2022
2022-07-24,Python,36,linguagens,2022
2022-07-31,Python,34,linguagens,2022
2022-08-07,Python,34,linguagens,2022
2022-08-14,Python,35,linguagens,2022
2022-08-21,Python,37,linguagens,2022
2022-08-28,Python,37,linguagens,2022
2022-09-04,Python,33,linguagens,2022
2022-09-11,Python,37,linguagens,2022
2022-09-18,Python,37,linguagens,2022
2022-09-25,Python,36,linguagens,2022
2022-10-02,Python,31,linguagens,2022
2022-10-09,Python,33,linguagens,2022
2022-10-16,Python,37,linguagens,2022
2022-10-23,Python,36,linguagens,2022
2022-10-30,Python,31,linguagens,2022
2022-11-06,Python,35,linguagens,2022
2022-11-13,Python,35,linguagens,2022
2022-11-20,Python,32,linguagens,2022
2022-11-27,Python,33,linguagens,2022
2022-12-04,Python,32,linguagens,2022
2022-12-11,Python,35,linguagens,2022
2022-12-18,Python,30,linguagens,2022
2022-12-25,Python,27,linguagens,2022
2023-01-01,Python,31,linguagens,2023
2023-01-08,Python,34,linguagens,2023
2023-01-15,Python,33,linguagens,2023
2023-01-22,Python,37,linguagens,2023
2023-01-29,Python,35,linguagens,2023
2023-02-05,Python,35,linguagens,2023
2023-02-12,Python,35,linguagens,2023
2023-02-19,Python,28,linguagens,2023
2023-02-26,Python,34,linguagens,2023
2023-03-05,Python,39,linguagens,2023
2023-03-12,Python,37,linguagens,2023
2023-03-19,Python,39,linguagens,2023
2023-03-26,Python,38,linguagens,2023
2023-04-02,Python,34,linguagens,2023
2023-04-09,Python,36,linguagens,2023
2023-04-16,Python,35,linguagens,2023
2023-04-23,Python,36,linguagens,2023
2023-04-30,Python,32,linguagens,2023
2023-05-07,Python,34,linguagens,2023
2023-05-14,Python,34,linguagens,2023
2023-05-21,Python,39,linguagens,2023
2023-05-28,Python,33,linguagens,2023
2023-06-04,Python,30,linguagens,2023
2023-06-11,Python,31,linguagens,2023
2023-06-18,Python,31,linguagens,2023
2023-06-25,Python,31,linguagens,2023
2023-07-02,Python,30,linguagens,2023
2023-07-09,Python,31,linguagens,2023
2023-07-16,Python,30,linguagens,2023
2023-07-23,Python,30,linguagens,2023
2023-07-30,Python,30,linguagens,2023
2023-08-06,Python,32,linguagens,2023
2023-08-13,Python,32,linguagens,2023
2023-08-20,Python,36,linguagens,2023
2023-08-27,Python,35,linguagens,2023
2023-09-03,Python,32,linguagens,2023
2023-09-10,Python,33,linguagens,2023
2023-09-17,Python,35,linguagens,2023
2023-09-24,Python,34,linguagens,2023
2023-10-01,Python,32,linguagens,2023
2023-10-08,Python,29,linguagens,2023
2023-10-15,Python,31,linguagens,2023
2023-10-22,Python,32,linguagens,2023
2023-10-29,Python,28,linguagens,2023
2023-11-05,Python,30,linguagens,2023
2023-11-12,Python,27,linguagens,2023
2023-11-19,Python,29,linguagens,2023
2023-11-26,Python,28,linguagens,2023
2023-12-03,Python,27,linguagens,2023
2023-12-10,Python,27,linguagens,2023
2023-12-17,Python,25,linguagens,2023
2023-12-24,Python,21,linguagens,2023
2023-12-31,Python,22,linguagens,2023
2024-01-07,Python,28,linguagens,2024
2024-01-14,Python,28,linguagens,2024
2024-01-21,Python,28,linguagens,2024
2024-01-28,Python,30,linguagens,2024
2024-02-04,Python,32,linguagens,2024
2024-02-11,Python,28,linguagens,2024
2024-02-18,Python,36,linguagens,2024
2024-02-25,Python,35,linguagens,2024
2024-03-03,Python,34,linguagens,2024
2024-03-10,Python,38,linguagens,2024
2024-03-17,Python,39,linguagens,2024
2024-03-24,Python,35,linguagens,2024
2024-03-31,Python,36,linguagens,2024
2024-04-07,Python,36,linguagens,2024
2024-04-14,Python,37,linguagens,2024
2024-04-21,Python,35,linguagens,2024
2024-04-28,Python,34,linguagens,2024
2024-05-05,Python,36,linguagens,2024
2024-05-12,Python,37,linguagens,2024
2024-05-19,Python,36,linguagens,2024
2024-05-26,Python,31,linguagens,2024
2024-06-02,Python,35,linguagens,2024
2024-06-09,Python,35,linguagens,2024
2024-06-16,Python,33,linguagens,2024
2024-06-23,Python,31,linguagens,2024
2024-06-30,Python,28,linguagens,2024
2024-07-07,Python,30,linguagens,2024
2024-07-14,Python,30,linguagens,2024
2024-07-21,Python,30,linguagens,2024
2024-07-28,Python,28,linguagens,2024
2024-08-04,Python,30,linguagens,2024
2024-08-11,Python,30,linguagens,2024
2024-08-18,Python,32,linguagens,2024
2024-08-25,Python,32,linguagens,2024
2024-09-01,Python,32,linguagens,2024
2024-09-08,Python,32,linguagens,2024
2024-09-15,Python,30,linguagens,2024
2024-09-22,Python,32,linguagens,2024
2024-09-29,Python,31,linguagens,2024
2024-10-06,Python,30,linguagens,2024
2024-10-13,Python,31,linguagens,2024
2024-10-20,Python,30,linguagens,2024
2024-10-27,Python,31,linguagens,2024
2024-11-03,Python,30,linguagens,2024
2024-11-10,Python,28,linguagens,2024
2024-11-17,Python,28,linguagens,2024
2024-11-24,Python,27,linguagens,2024
2024-12-01,Python,27,linguagens,2024
2024-12-08,Python,28,linguagens,2024
2024-12-15,Python,24,linguagens,2024
2024-12-22,Python,21,linguagens,2024
2024-12-29,Python,22,linguagens,2024
2020-12-27,SQL,5,linguagens,2020
2021-01-03,SQL,8,linguagens,2021
2021-01-10,SQL,9,linguagens,2021
2021-01-17,SQL,9,linguagens,2021
2021-01-24,SQL,9,linguagens,2021
2021-01-31,SQL,9,linguagens,2021
2021-02-07,SQL,9,linguagens,2021
2021-02-14,SQL,8,linguagens,2021
2021-02-21,SQL,9,linguagens,2021
2021-02-28,SQL,10,linguagens,2021
2021-03-07,SQL,9,linguagens,2021
2021-03-14,SQL,9,linguagens,2021
2021-03-21,SQL,9,linguagens,2021
2021-03-28,SQL,8,linguagens,2021
2021-04-04,SQL,10,linguagens,2021
2021-04-11,SQL,10,linguagens,2021
2021-04-18,SQL,9,linguagens,2021
2021-04-25,SQL,10,linguagens,2021
2021-05-02,SQL,10,linguagens,2021
2021-05-09,SQL,10,linguagens,2021
2021-05-16,SQL,10,linguagens,2021
2021-05-23,SQL,10,linguagens,2021
2021-05-30,SQL,9,linguagens,2021
2021-06-06,SQL,10,linguagens,2021
2021-06-13,SQL,10,linguagens,2021
2021-06-20,SQL,10,linguagens,2021
2021-06-27,SQL,9,linguagens,2021
2021-07-04,SQL,10,linguagens,2021
2021-07-11,SQL,11,linguagens,2021
2021-07-18,SQL,10,linguagens,2021
2021-07-25,SQL,10,linguagens,2021
2021-08-01,SQL,10,linguagens,2021
2021-08-08,SQL,10,linguagens,2021
2021-08-15,SQL,10,linguagens,2021
2021-08-22,SQL,11,linguagens,2021
2021-08-29,SQL,11,linguagens,2021
2021-09-05,SQL,10,linguagens,2021
2021-09-12,SQL,12,linguagens,2021
2021-09-19,SQL,14,linguagens,2021
2021-09-26,SQL,12,linguagens,2021
2021-10-03,SQL,11,linguagens,2021
2021-10-10,SQL,10,linguagens,2021
2021-10-17,SQL,12,linguagens,2021
2021-10-24,SQL,12,linguagens,2021
2021-10-31,SQL,9,linguagens,2021
2021-11-07,SQL,12,linguagens,2021
2021-11-14,SQL,10,linguagens,2021
2021-11-21,SQL,12,linguagens,2021
2021-11-28,SQL,12,linguagens,2021
2021-12-05,SQL,12,linguagens,2021
2021-12-12,SQL,12,linguagens,2021
2021-12-19,SQL,10,linguagens,2021
2021-12-26,SQL,9,linguagens,2021
